CHANNEL,EPC,PHASE,RSSI,,,,,,,
924.25,E200 0017 9408 0236 1560 799A,2.135301257,-57,,,channel,Phase,,,
924.25,E200 0017 9408 0236 1560 799A,2.092349795,-57.5,,,,1,2,3,4
924.25,E200 0017 9408 0236 1560 799A,2.147573103,-57.5,,,924.25,2.135301257,,,
924.25,E200 0017 9408 0236 1560 799A,2.086213872,-57.5,,,924.25,2.092349795,,,
923.75,E200 0017 9408 0236 1560 799A,2.319378951,-58.5,,,924.25,2.147573103,,,
923.75,E200 0017 9408 0236 1560 799A,2.393010029,-58.5,,,924.25,2.086213872,,,
923.75,E200 0017 9408 0236 1560 799A,2.399145952,-58.5,,,923.75,2.319378951,,,
923.75,E200 0017 9408 0236 1560 799A,2.362330413,-58.5,,,923.75,2.393010029,,,
923.75,E200 0017 9408 0236 1560 799A,2.380738183,-58,,,923.75,2.399145952,,,
923.75,E200 0017 9408 0236 1560 799A,2.37460226,-58.5,,,923.75,2.362330413,,,
923.25,E200 0017 9408 0236 1560 799A,2.534136262,-58.5,,,923.75,2.380738183,,,
923.25,E200 0017 9408 0236 1560 799A,2.558679954,-58.5,,,923.75,2.37460226,,,
923.25,E200 0017 9408 0236 1560 799A,2.503456646,-58.5,,,923.25,2.534136262,,,
923.25,E200 0017 9408 0236 1560 799A,2.558679954,-58.5,,,923.25,2.558679954,,,
903.75,E200 0017 9408 0236 1560 799A,4.246058821,-68,,,923.25,2.503456646,,,
916.25,E200 0000 0000 0000 0000 AAA2,4.924078329,-72.5,,,923.25,2.558679954,,,
916.25,E200 0000 0000 0000 0000 AAA2,4.884194829,-73.5,,,903.75,4.246058821,,,
916.25,E200 0000 0000 0000 0000 AAA2,4.841243367,-73.5,,,916.25,,4.924078329,,
916.25,E200 0000 0000 0000 0000 AAA2,4.96396183,-73.5,,,916.25,,4.884194829,,
910.25,E200 0000 0000 0000 0000 AAA2,2.638446955,-69,,,916.25,,4.841243367,,
910.25,E200 0000 0000 0000 0000 AAA2,2.564815877,-68.5,,,916.25,,4.96396183,,
910.25,E200 0000 0000 0000 0000 AAA2,2.951379036,-68.5,,,910.25,,2.638446955,,
910.25,E200 0000 0000 0000 0000 AAA2,3.03728196,-70,,,910.25,,2.564815877,,
910.25,E200 0000 0000 0000 0000 AAA2,5.890486225,-70,,,910.25,,2.951379036,,
910.25,E200 0000 0000 0000 0000 AAA2,2.662990648,-68.5,,,910.25,,3.03728196,,
904.75,E200 0000 0000 0000 0000 AAA2,0.533825314,-69,,,910.25,,5.890486225,,
904.75,E200 0000 0000 0000 0000 AAA2,0.300660234,-70.5,,,910.25,,2.662990648,,
904.75,E200 0000 0000 0000 0000 AAA2,0.251572849,-69.5,,,904.75,,0.533825314,,
904.75,E200 0000 0000 0000 0000 AAA2,0.423378697,-70.5,,,904.75,,0.300660234,,
912.25,E200 0000 0000 0000 0000 AAA2,1.196505015,-71.5,,,904.75,,0.251572849,,
912.25,E200 0000 0000 0000 0000 AAA2,1.306951631,-71,,,904.75,,0.423378697,,
912.25,E200 0000 0000 0000 0000 AAA2,1.079922475,-72.5,,,912.25,,1.196505015,,
912.25,E200 0000 0000 0000 0000 AAA2,1.086058398,-72.5,,,912.25,,1.306951631,,
912.25,E200 0000 0000 0000 0000 AAA2,1.779417714,-73,,,912.25,,1.079922475,,
907.25,E200 0000 0000 0000 0000 AAA2,4.657165672,-71.5,,,912.25,,1.086058398,,
907.25,E200 0000 0000 0000 0000 AAA2,4.773748212,-70.5,,,912.25,,1.779417714,,
907.75,E200 0000 0000 0000 0000 AAA2,4.632621979,-70.5,,,907.25,,4.657165672,,
907.75,E200 0000 0000 0000 0000 AAA2,4.196971436,-71,,,907.25,,4.773748212,,
907.75,E200 0000 0000 0000 0000 AAA2,4.276738437,-72,,,907.75,,4.632621979,,
907.75,E200 0000 0000 0000 0000 AAA2,4.209243282,-71,,,907.75,,4.196971436,,
910.75,E200 0000 0000 0000 0000 AAA2,2.080077948,-73,,,907.75,,4.276738437,,
913.75,E200 0000 0000 0000 0000 AAA2,0.030679616,-75,,,907.75,,4.209243282,,
913.75,E200 0000 0000 0000 0000 AAA2,0.085902924,-75,,,910.75,,2.080077948,,
913.75,E200 0000 0000 0000 0000 AAA2,0.153398079,-75,,,913.75,,0.030679616,,
913.25,E200 0000 0000 0000 0000 AAA2,0.368155389,-74.5,,,913.75,,0.085902924,,
913.25,E200 0000 0000 0000 0000 AAA2,0.417242774,-74.5,,,913.75,,0.153398079,,
914.25,E200 0000 0000 0000 0000 AAA2,6.19114646,-75,,,913.25,,0.368155389,,
911.25,E200 0000 0000 0000 0000 AAA2,1.803961407,-73,,,913.25,,0.417242774,,
911.25,E200 0000 0000 0000 0000 AAA2,1.681242944,-73.5,,,914.25,,6.19114646,,
911.25,E200 0000 0000 0000 0000 AAA2,2.073942025,-73,,,911.25,,1.803961407,,
911.75,E200 0000 0000 0000 0000 AAA2,1.472621556,-73.5,,,911.25,,1.681242944,,
911.75,E200 0000 0000 0000 0000 AAA2,1.386718632,-73.5,,,911.25,,2.073942025,,
911.75,E200 0000 0000 0000 0000 AAA2,1.889864331,-73.5,,,911.75,,1.472621556,,
916.25,3039 6062 C3AD 3FC0 001F 4997,2.310175067,-60,,,911.75,,1.386718632,,
916.25,3039 6062 C3AD 3FC0 001F 4997,5.546874529,-59.5,,,911.75,,1.889864331,,
916.25,3039 6062 C3AD 3FC0 001F 4997,5.540738606,-59.5,,,916.25,,,2.310175067,
916.25,3039 6062 C3AD 3FC0 001F 4997,5.540738606,-59.5,,,916.25,,,5.546874529,
910.25,3039 6062 C3AD 3FC0 001F 4997,1.988039101,-60.5,,,916.25,,,5.540738606,
910.25,3039 6062 C3AD 3FC0 001F 4997,1.92667987,-61,,,916.25,,,5.540738606,
910.25,3039 6062 C3AD 3FC0 001F 4997,2.02485464,-60,,,910.25,,,1.988039101,
910.25,3039 6062 C3AD 3FC0 001F 4997,1.963495408,-60.5,,,910.25,,,1.92667987,
910.25,3039 6062 C3AD 3FC0 001F 4997,1.994175024,-60,,,910.25,,,2.02485464,
910.25,3039 6062 C3AD 3FC0 001F 4997,2.055534256,-60.5,,,910.25,,,1.963495408,
924.25,3039 6062 C3AD 3FC0 001F 4997,1.69351479,-61.5,,,910.25,,,1.994175024,
924.25,3039 6062 C3AD 3FC0 001F 4997,1.748738098,-61.5,,,910.25,,,2.055534256,
924.25,3039 6062 C3AD 3FC0 001F 4997,1.668971097,-61.5,,,924.25,,,1.69351479,
924.25,3039 6062 C3AD 3FC0 001F 4997,1.656699251,-62,,,924.25,,,1.748738098,
904.75,3039 6062 C3AD 3FC0 001F 4997,4.295146206,-62.5,,,924.25,,,1.668971097,
904.75,3039 6062 C3AD 3FC0 001F 4997,4.28287436,-62.5,,,924.25,,,1.656699251,
904.75,3039 6062 C3AD 3FC0 001F 4997,4.289010283,-62.5,,,904.75,,,4.295146206,
904.75,3039 6062 C3AD 3FC0 001F 4997,4.301282129,-62.5,,,904.75,,,4.28287436,
912.25,3039 6062 C3AD 3FC0 001F 4997,1.043106936,-59.5,,,904.75,,,4.289010283,
912.25,3039 6062 C3AD 3FC0 001F 4997,1.147417629,-59.5,,,904.75,,,4.301282129,
912.25,3039 6062 C3AD 3FC0 001F 4997,1.006291397,-59.5,,,912.25,,,1.043106936,
912.25,3039 6062 C3AD 3FC0 001F 4997,1.043106936,-59.5,,,912.25,,,1.147417629,
912.25,3039 6062 C3AD 3FC0 001F 4997,0.963339935,-59.5,,,912.25,,,1.006291397,
915.25,3039 6062 C3AD 3FC0 001F 4997,5.97638915,-59,,,912.25,,,1.043106936,
915.25,3039 6062 C3AD 3FC0 001F 4997,5.97638915,-59,,,912.25,,,0.963339935,
915.25,3039 6062 C3AD 3FC0 001F 4997,5.902758072,-58.5,,,915.25,,,5.97638915,
915.25,3039 6062 C3AD 3FC0 001F 4997,5.945709534,-59,,,915.25,,,5.97638915,
915.25,3039 6062 C3AD 3FC0 001F 4997,5.945709534,-59,,,915.25,,,5.902758072,
907.25,3039 6062 C3AD 3FC0 001F 4997,3.356349964,-61,,,915.25,,,5.945709534,
907.25,3039 6062 C3AD 3FC0 001F 4997,3.227495578,-61,,,915.25,,,5.945709534,
907.25,3039 6062 C3AD 3FC0 001F 4997,3.337942194,-61,,,907.25,,,3.356349964,
907.25,3039 6062 C3AD 3FC0 001F 4997,3.276582963,-61,,,907.25,,,3.227495578,
923.75,3039 6062 C3AD 3FC0 001F 4997,1.914408023,-61.5,,,907.25,,,3.337942194,
923.75,3039 6062 C3AD 3FC0 001F 4997,2.000310947,-61.5,,,907.25,,,3.276582963,
923.75,3039 6062 C3AD 3FC0 001F 4997,1.871456561,-62,,,923.75,,,1.914408023,
923.75,3039 6062 C3AD 3FC0 001F 4997,1.988039101,-61,,,923.75,,,2.000310947,
923.75,3039 6062 C3AD 3FC0 001F 4997,1.81009733,-61,,,923.75,,,1.871456561,
923.75,3039 6062 C3AD 3FC0 001F 4997,1.816233253,-61.5,,,923.75,,,1.988039101,
908.75,3039 6062 C3AD 3FC0 001F 4997,2.632311032,-59.5,,,923.75,,,1.81009733,
908.75,3039 6062 C3AD 3FC0 001F 4997,2.650718801,-60.5,,,923.75,,,1.816233253,
908.75,3039 6062 C3AD 3FC0 001F 4997,2.656854725,-60.5,,,908.75,,,2.632311032,
908.75,3039 6062 C3AD 3FC0 001F 4997,2.626175109,-60,,,908.75,,,2.650718801,
907.75,3039 6062 C3AD 3FC0 001F 4997,3.018874191,-61,,,908.75,,,2.656854725,
907.75,3039 6062 C3AD 3FC0 001F 4997,2.975922728,-61,,,908.75,,,2.626175109,
907.75,3039 6062 C3AD 3FC0 001F 4997,3.067961576,-60.5,,,907.75,,,3.018874191,
907.75,3039 6062 C3AD 3FC0 001F 4997,3.129320807,-61,,,907.75,,,2.975922728,
907.75,3039 6062 C3AD 3FC0 001F 4997,3.110913038,-61,,,907.75,,,3.067961576,
907.75,3039 6062 C3AD 3FC0 001F 4997,3.012738267,-61,,,907.75,,,3.129320807,
923.25,3039 6062 C3AD 3FC0 001F 4997,2.110757564,-61.5,,,907.75,,,3.110913038,
923.25,3039 6062 C3AD 3FC0 001F 4997,2.043262409,-61,,,907.75,,,3.012738267,
923.25,3039 6062 C3AD 3FC0 001F 4997,2.086213872,-61.5,,,923.25,,,2.110757564,
923.25,3039 6062 C3AD 3FC0 001F 4997,1.877592484,-61,,,923.25,,,2.043262409,
910.75,3039 6062 C3AD 3FC0 001F 4997,1.840776945,-59.5,,,923.25,,,2.086213872,
910.75,3039 6062 C3AD 3FC0 001F 4997,1.828505099,-59.5,,,923.25,,,1.877592484,
910.75,3039 6062 C3AD 3FC0 001F 4997,1.797825483,-60,,,910.75,,,1.840776945,
910.75,3039 6062 C3AD 3FC0 001F 4997,1.767145868,-59.5,,,910.75,,,1.828505099,
910.75,3039 6062 C3AD 3FC0 001F 4997,1.748738098,-59.5,,,910.75,,,1.797825483,
913.75,3039 6062 C3AD 3FC0 001F 4997,0.435650544,-59,,,910.75,,,1.767145868,
913.75,3039 6062 C3AD 3FC0 001F 4997,0.429514621,-59,,,910.75,,,1.748738098,
913.75,3039 6062 C3AD 3FC0 001F 4997,0.472466083,-58.5,,,913.75,,,0.435650544,
913.75,3039 6062 C3AD 3FC0 001F 4997,0.362019466,-58.5,,,913.75,,,0.429514621,
913.25,3039 6062 C3AD 3FC0 001F 4997,0.503145698,-59,,,913.75,,,0.472466083,
913.25,3039 6062 C3AD 3FC0 001F 4997,0.613592315,-59,,,913.75,,,0.362019466,
913.25,3039 6062 C3AD 3FC0 001F 4997,0.656543777,-58.5,,,913.25,,,0.503145698,
913.25,3039 6062 C3AD 3FC0 001F 4997,0.674951547,-59,,,913.25,,,0.613592315,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.159534002,-58.5,,,913.25,,,0.656543777,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.134990309,-58.5,,,913.25,,,0.674951547,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.147262156,-59,,,914.25,,,0.159534002,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.171805848,-58.5,,,914.25,,,0.134990309,
914.25,3039 6062 C3AD 3FC0 001F 4997,0.104310694,-59,,,914.25,,,0.147262156,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.546252634,-60,,,914.25,,,0.171805848,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.632155558,-59.5,,,914.25,,,0.104310694,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.533980788,-60,,,911.25,,,1.546252634,
911.25,3039 6062 C3AD 3FC0 001F 4997,1.484893403,-60,,,911.25,,,1.632155558,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.294679785,-59.5,,,911.25,,,1.533980788,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.288543862,-59.5,,,911.25,,,1.484893403,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.319223478,-59,,,911.75,,,1.294679785,
911.75,3039 6062 C3AD 3FC0 001F 4997,1.36217494,-59,,,911.75,,,1.288543862,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.203107359,-61.5,,,911.75,,,1.319223478,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.129476281,-61.5,,,911.75,,,1.36217494,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.135612204,-61.5,,,905.25,,,4.203107359,
905.25,3039 6062 C3AD 3FC0 001F 4997,4.233786975,-60,,,905.25,,,4.129476281,
916.25,3035 15B8 9802 DE90 4000 11E7,0.181009733,-63,,,905.25,,,4.135612204,
916.25,3035 15B8 9802 DE90 4000 11E7,3.123184884,-63,,,905.25,,,4.233786975,
916.25,3035 15B8 9802 DE90 4000 11E7,3.233631501,-62.5,,,916.25,,,,0.181009733
916.25,3035 15B8 9802 DE90 4000 11E7,3.074097499,-62,,,916.25,,,,3.123184884
924.25,3035 15B8 9802 DE90 4000 11E7,5.675728915,-63.5,,,916.25,,,,3.233631501
924.25,3035 15B8 9802 DE90 4000 11E7,5.589825991,-64.5,,,916.25,,,,3.074097499
924.25,3035 15B8 9802 DE90 4000 11E7,5.681864838,-63.5,,,924.25,,,,5.675728915
924.25,3035 15B8 9802 DE90 4000 11E7,5.602097837,-63.5,,,924.25,,,,5.589825991
912.25,3035 15B8 9802 DE90 4000 11E7,4.865787059,-64.5,,,924.25,,,,5.681864838
912.25,3035 15B8 9802 DE90 4000 11E7,4.988505522,-64.5,,,924.25,,,,5.602097837
912.25,3035 15B8 9802 DE90 4000 11E7,4.951689983,-64.5,,,912.25,,,,4.865787059
912.25,3035 15B8 9802 DE90 4000 11E7,5.074408446,-64,,,912.25,,,,4.988505522
912.25,3035 15B8 9802 DE90 4000 11E7,5.000777369,-64,,,912.25,,,,4.951689983
915.25,3035 15B8 9802 DE90 4000 11E7,3.71836943,-62.5,,,912.25,,,,5.074408446
915.25,3035 15B8 9802 DE90 4000 11E7,3.706097584,-62,,,912.25,,,,5.000777369
915.25,3035 15B8 9802 DE90 4000 11E7,3.687689814,-62.5,,,915.25,,,,3.71836943
915.25,3035 15B8 9802 DE90 4000 11E7,3.564971351,-62.5,,,915.25,,,,3.706097584
915.25,3035 15B8 9802 DE90 4000 11E7,3.644738352,-62.5,,,915.25,,,,3.687689814
923.75,3035 15B8 9802 DE90 4000 11E7,5.878214379,-62,,,915.25,,,,3.564971351
923.75,3035 15B8 9802 DE90 4000 11E7,5.638913376,-62.5,,,915.25,,,,3.644738352
923.75,3035 15B8 9802 DE90 4000 11E7,5.773903686,-62,,,923.75,,,,5.878214379
923.75,3035 15B8 9802 DE90 4000 11E7,5.872078456,-62.5,,,923.75,,,,5.638913376
923.75,3035 15B8 9802 DE90 4000 11E7,5.822991071,-62,,,923.75,,,,5.773903686
923.75,3035 15B8 9802 DE90 4000 11E7,5.896622149,-62,,,923.75,,,,5.872078456
923.25,3035 15B8 9802 DE90 4000 11E7,6.043884304,-62,,,923.75,,,,5.822991071
923.25,3035 15B8 9802 DE90 4000 11E7,6.080699843,-62,,,923.75,,,,5.896622149
923.25,3035 15B8 9802 DE90 4000 11E7,5.896622149,-62.5,,,923.25,,,,6.043884304
923.25,3035 15B8 9802 DE90 4000 11E7,6.129787228,-62.5,,,923.25,,,,6.080699843
910.75,3035 15B8 9802 DE90 4000 11E7,5.595961914,-66.5,,,923.25,,,,5.896622149
910.75,3035 15B8 9802 DE90 4000 11E7,5.645049299,-66.5,,,923.25,,,,6.129787228
913.75,3035 15B8 9802 DE90 4000 11E7,4.417864669,-63,,,910.75,,,,5.595961914
913.75,3035 15B8 9802 DE90 4000 11E7,4.387185053,-62.5,,,910.75,,,,5.645049299
913.75,3035 15B8 9802 DE90 4000 11E7,4.344233591,-62.5,,,913.75,,,,4.417864669
913.75,3035 15B8 9802 DE90 4000 11E7,4.135612204,-62.5,,,913.75,,,,4.387185053
913.75,3035 15B8 9802 DE90 4000 11E7,4.387185053,-63.5,,,913.75,,,,4.344233591
913.25,3035 15B8 9802 DE90 4000 11E7,4.620350133,-63.5,,,913.75,,,,4.135612204
913.25,3035 15B8 9802 DE90 4000 11E7,4.350369514,-64,,,913.75,,,,4.387185053
913.25,3035 15B8 9802 DE90 4000 11E7,4.509903516,-63.5,,,913.25,,,,4.620350133
913.25,3035 15B8 9802 DE90 4000 11E7,4.583534594,-63,,,913.25,,,,4.350369514
914.25,3035 15B8 9802 DE90 4000 11E7,4.154019974,-63.5,,,913.25,,,,4.509903516
914.25,3035 15B8 9802 DE90 4000 11E7,4.025165587,-63,,,913.25,,,,4.583534594
914.25,3035 15B8 9802 DE90 4000 11E7,4.092660742,-62.5,,,914.25,,,,4.154019974
914.25,3035 15B8 9802 DE90 4000 11E7,4.344233591,-62.5,,,914.25,,,,4.025165587
914.25,3035 15B8 9802 DE90 4000 11E7,4.092660742,-62.5,,,914.25,,,,4.092660742
911.25,3035 15B8 9802 DE90 4000 11E7,5.418020143,-66,,,914.25,,,,4.344233591
911.75,3035 15B8 9802 DE90 4000 11E7,5.098952139,-64.5,,,914.25,,,,4.092660742
911.75,3035 15B8 9802 DE90 4000 11E7,5.16031137,-64.5,,,911.25,,,,5.418020143
911.75,3035 15B8 9802 DE90 4000 11E7,5.215534679,-64.5,,,911.75,,,,5.098952139
911.75,3035 15B8 9802 DE90 4000 11E7,5.27689391,-64.5,,,911.75,,,,5.16031137
911.75,3035 15B8 9802 DE90 4000 11E7,5.270757987,-64,,,911.75,,,,5.215534679
,,,,,,911.75,,,,5.27689391
,,,,,,911.75,,,,5.270757987
